,source_id,source_name,author,title,description,content
53,the-verge,The Verge,Taylor Lyles,VoteByMail makes it easier to request a mail-in ballot ahead of the election,"With the coronavirus pandemic still going on and election season almost here, many are looking to vote by mail this year. VoteByMail is a new website that streamlines the process needed to obtain a ballot ahead of the 2020 election.","VoteByMail helps registered voters sign up
Illustration by Alex Castro / The Verge
A new website tries to streamline the process of signing up to vote by mail. 
VoteByMail.io is a new service crea… [+2586 chars]"
54,,Gizmodo.com,Jody Serrano,"Birx Says Coronavirus Outbreak Is 'Extraordinarily Widespread,' Recommends Some Wear Masks at Home","Dr. Deborah Birx, the coordinator of the White House coronavirus task force, sent an alarming message about the coronavirus outbreak in the U.S. on Sunday. Birx said that what the country is experiencing now is different than in March and April, which saw the…","Dr. Deborah Birx, the coordinator of the White House coronavirus task force, sent an alarming message about the coronavirus outbreak in the U.S. on Sunday. Birx said that what the country is experien… [+2715 chars]"
55,,Gizmodo.com,Tom McKay,"Congressman Louie Gohmert Has Covid, Suspects He Contracted It From Mask He Wasn’t Wearing","U.S. representative and walking self-parody Louie Gohmert, one of the many mouth-breathing conservative dolts who have mostly refused to wear a mask during the novel coronavirus pandemic, tested positive for the novel coronavirus on Wednesday. He blames the m…","U.S. representative and walking self-parody Louie Gohmert, one of the many mouth-breathing conservative dolts who have mostly refused to wear a mask during the novel coronavirus pandemic, tested posi… [+3841 chars]"
56,bbc-news,BBC News,,Prague Open: Simona Halep beats Elise Mertens in final,Simona Halep wins her first title since before the coronavirus lockdown at the Prague Open with a straight-set victory over Elise Mertens.,"The Prague Open is Halep's 21st victory on the WTA Tour
Simona Halep won her first title since before the coronavirus lockdown at the Prague Open with a straight-set victory over Elise Mertens.
The… [+590 chars]"
57,,Lifehacker.com,"Elizabeth Yuko on Vitals, shared by Elizabeth Yuko to Lifehacker",We're Still in the First Wave,"Despite being told for months that the novel coronavirus is unlike anything we’ve dealt with in modern times, it’s still tempting for us to think of it in terms of influenza. (Even though they’re definitely not the same thing.) This makes sense because we’re …","Despite being told for months that the novel coronavirus is unlike anything weve dealt with in modern times, its still tempting for us to think of it in terms of influenza. (Even though theyre defini… [+3420 chars]"
58,,Lifehacker.com,"Beth Skwarecki on Vitals, shared by Beth Skwarecki to Lifehacker","If We Can't Open Sports, What Hope Is There for Opening Schools?","As I read the many pages of our district’s return-to-school plans, I only had two questions in  mind: How will you know if somebody has the coronavirus? and Assuming that the virus makes it into the school, because it will, how will you make sure that it does…","As I read the many pages of our districts return-to-school plans, I only had two questions in mind: How will you know if somebody has the coronavirus? and Assuming that the virus makes it into the sc… [+5708 chars]"
59,,Lifehacker.com,Abu Zafar,Build Your Own Peloton-Style Exercise Bike and Save Money,"While biking outdoors is on the lower end of the coronavirus risk spectrum, getting an indoor exercise bike has definitely become a more appealing prospect these past few months. In the video above, I decide to build my own exercise bike rather than spend ove…","While biking outdoors is on the lower end of the coronavirus risk spectrum, getting an indoor exercise bike has definitely become a more appealing prospect these past few months. In the video above, … [+1523 chars]"
60,,Lifehacker.com,Elizabeth Yuko,"How to Communicate with COVID Conspiracy Theorists, According to John Oliver","Thanks in no small part to COVID-19, we have found ourselves in a golden age of conspiracy theories. With so much still unknown about the novel coronavirus, whenever we add a piece to the pandemic puzzle through evidence-based medicine and research—especially…","Thanks in no small part to COVID-19, we have found ourselves in a golden age of conspiracy theories. With so much still unknown about the novel coronavirus, whenever we add a piece to the pandemic pu… [+3266 chars]"
61,,Lifehacker.com,"Kate Dore on Two Cents, shared by Kate Dore to Lifehacker",How This Week’s Fed Meetings May Impact Your Wallet,"Yesterday, the Federal Reserve announced it would leave its benchmark interest rate close to zero. “We’re not even thinking about thinking about thinking about raising rates,” Fed Chair Jerome Powell said in a press conference. As coronavirus cases continue t…","Yesterday, the Federal Reserve announced it would leave its benchmark interest rate close to zero. Were not even thinking about thinking about thinking about raising rates, Fed Chair Jerome Powell sa… [+2022 chars]"
62,,Lifehacker.com,David Murphy,Why Am I Locked Out of My Netflix Account?,"Living in quarantine for the past however many months—how long has it been, anyhow?—I can think of few things worse than what happened to one Lifehacker reader recently. No, they didn’t get coronavirus. That would definitely be the worst-case scenario. They d…","Living in quarantine for the past however many monthshow long has it been, anyhow?I can think of few things worse than what happened to one Lifehackerreader recently. No, they didnt get coronavirus. … [+7252 chars]"
63,,Lifehacker.com,Elizabeth Yuko,What We Know (Don't) About Russia's Supposed COVID-19 Vaccine,"Since the beginning of the COVID-19 pandemic, much of the optimism that “we’ll get through this” and be “back to normal” sometime soon has been pinned to the development and approval of an effective vaccine against the novel coronavirus. Major pharmaceutical …","Since the beginning of the COVID-19 pandemic, much of the optimism that well get through this and be back to normal sometime soon has been pinned to the development and approval of an effective vacci… [+5264 chars]"
64,,Lifehacker.com,Elizabeth Yuko,How to Be a 'Virtual Fan' At MLB and NBA Games This Summer,"Professional sports are a thing that some people enjoy a lot. And given that most have been cancelled over the past several months thanks to the coronavirus outbreak, the fans are getting (understandably) restless. The good news is that some professional spor…","Professional sports are a thing that some people enjoy a lot. And given that most have been cancelled over the past several months thanks to the coronavirus outbreak, the fans are getting (understand… [+1920 chars]"
65,,Lifehacker.com,"Beth Skwarecki on Vitals, shared by Beth Skwarecki to Lifehacker",It's Even More Important to Get Your Flu Shot This Year,"I told you all in January: if you’re worried about the coronavirus—at that point it wasn’t in the US yet, but people were already freaking out—use that nervous energy to get off your butt and get your damn flu shot. Now that COVID-19 is here to stay, I repeat…","I told you all in January: if youre worried about the coronavirusat that point it wasnt in the US yet, but people were already freaking outuse that nervous energy to get off your butt and get your da… [+1790 chars]"
66,,Lifehacker.com,"Beth Skwarecki on Vitals, shared by Beth Skwarecki to Lifehacker",Can Liquid Chalk Really Double as a Hand Sanitizer?,"To protect ourselves from the coronavirus, the CDC recommends keeping your hands as clean as possible, including using hand sanitizers with at least 60% alcohol when hand washing is not possible. Liquid chalk, used by climbers and powerlifters to help with gr…","To protect ourselves from the coronavirus, the CDC recommends keeping your hands as clean as possible, including using hand sanitizers with at least 60% alcohol when hand washing is not possible. Liq… [+6727 chars]"
67,,Lifehacker.com,"Kate Dore on Two Cents, shared by Kate Dore to Lifehacker",Steer Clear of Short-Term Health Insurance,"As the coronavirus outbreak continues, some companies are predicting higher health insurance premiums for 2021. Whether you have recently lost your job—or you’re already thinking about fall open enrollment—there are some types of insurance to stay away from. …","As the coronavirus outbreak continues, some companies are predicting higher health insurance premiums for 2021. Whether you have recently lost your jobor youre already thinking about fall open enroll… [+2315 chars]"
68,mashable,Mashable,Mark Kaufman,Coronavirus infects bear cam rangers in remote Alaska,"The coronavirus has reached an isolated part of an already remote national park in Alaska.
On Sunday evening, Katmai National Park and Preserve — home to the livestreamed bear cams  — announced ""multiple cases"" of COVID-19 at Brooks Camp, the place where visi…","The coronavirus has reached an isolated part of an already remote national park in Alaska.
On Sunday evening, Katmai National Park and Preserve home to the livestreamed bear cams   announced ""multip… [+3553 chars]"
69,mashable,Mashable,Sam Haysom,John Oliver explores the murky world of coronavirus conspiracy theories,"From Wayfair to 5G, conspiracy theories seem to have been more popular than ever in 2020. And as the coronavirus continues to spread in America, they show no sign of slowing down.
In the video above from Last Week Tonight, John Oliver takes a dive into their …","From Wayfair to 5G, conspiracy theories seem to have been more popular than ever in 2020. And as the coronavirus continues to spread in America, they show no sign of slowing down.
In the video above… [+1666 chars]"
70,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus: UN makes record $10.3M appeal for pandemic fight,The UN says up to 265 million people could face starvation because of the impact of Covid-19.,"Image copyrightGetty ImagesImage caption
 In Yemen, a quarter of all those confirmed to have had the virus have died from it
The United Nations is making an appeal for $10.3 billion (£8.2 billion) … [+1696 chars]"
71,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Hong Kong reports biggest one day rise in cases,"The territory will bring back strict lockdown measures, after more than 100 new infections.","Image copyrightReutersImage caption
 Ms Lam said the authorities would ramp up testing and asked some civil servants to work from home
Hong Kong has recorded its highest one-day increase in cases s… [+1417 chars]"
72,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Millions of Americans set to lose key $600 benefit,US politicians fail to agree on extending the weekly coronavirus aid but talks will continue.,"Image copyrightGetty ImagesImage caption
 Many Americans have come to rely on food banks like this one in New York
A $600 (£459) jobless benefit paid to tens of millions of unemployed Americans exp… [+1193 chars]"
73,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Malta says 65 rescued migrants test positive,More than two thirds of 94 migrants rescued in the Mediterranean test positive.,"Image copyrightReutersImage caption
 In tests carried out on arrival, 65 were found to have Covid-19
More than two thirds of a group of 94 migrants rescued in the Mediterranean by the Maltese coast… [+1546 chars]"
