Job-Title,Company Name,Segmentation,Skills they are looking for,Date Posted
Virtual Implementation Consultant,"CDK GLOBAL, LLC.",Information Technology,"['UnixAutomationVisual', 'BasicLinuxProject', 'managementWorkflowHTMLInformation', 'technology']",10 Days Ago
MS SQL Server DBA,Solugenix India Private Limited,Information Technology,"['IT', 'servicesComputer', 'sciencePerformance', 'tuningMS', 'SQLStaffingDatabase', 'administrationmicrosoftInformation', 'technology']",11 Days Ago
Oracle DBA,Solugenix India Private Limited,Information Technology,"['IT', 'SkillsCloudDBAOracleAzurePerformance', 'tuningLinuxSolaris']",11 Days Ago
Sybase DBA,Solugenix India Private Limited,Information Technology,"['IT', 'SkillsCloudDBAIT', 'servicesStaffingDisaster', 'recoveryDatabaseManager', 'Technology']",11 Days Ago
Senior UI Developer (React.Js/Node.Js),CDK GLOBAL (INDIA) PRIVATE LIMITED,Information Technology,"['IT', 'SkillsHTMLCSSJavascriptJenkinsAzureWeb', 'servicesjQuery']",11 Days Ago
Dot Net Developer,CDK GLOBAL (INDIA) PRIVATE LIMITED,Information Technology,"['GITRDBMSJavascript.Netsoftware', 'qualityDigital', 'marketingInformation', 'technologyMicrosoft', 'technologies']",11 Days Ago
Pega CSSA and Architect,Acel Solutions Pvt. Ltd.,Information Technology,"['Pega', 'Rules', 'Process', 'Commanderinformation', 'technologySoftwarePegaAnalyticsSDLCBpmBusiness', 'Analysis']",30+ Days Ago
ENE Senior developers,Anantha Cyber Tech Pvt Limited,Information Technology,"['Oracle', 'databaseTelecomWeb', 'technologiesSalesOracle', 'SQLNetworkingDatabasePLSQL']",30+ Days Ago
Sr System Administrator,TERRA TECHNOLOGY,Information Technology,"['HelpdeskLinuxNetwork', 'engineeringActive', 'directoryDNSWindowsTroubleshootingmicrosoft']",30+ Days Ago
IT Support Specialist - Level 2 / 3,Big Idea Technology LLC,Information Technology,"['WirelessNetworkingIT', 'supportVOIPWindowsmicrosoftTroubleshootingInformation', 'technology']",30+ Days Ago
IT Automation Specialist,Diverse Lynx India Pvt. Ltd,Information Technology,"['Computer', 'scienceAutomationIISLinuxVB', 'SCRIPTActive', 'directoryNetwork', 'securityWindows']",30+ Days Ago
Project Management / Coordination,Anantha Cyber Tech Pvt Limited,Information Technology,"['MS', 'projectExcelSalesNetworkingProject', 'managementBillingSchedulingBudgeting']",30+ Days Ago
IS Encryption Analyst,Anantha Cyber Tech Pvt Limited,Information Technology,"['AnalystNetworkingInformation', 'securityActive', 'directoryManagementCryptographyInformation', 'technologyOperations']",30+ Days Ago
TTEC  -  Network Operations Center Manager,TTEC,Information Technology,"['VMwareSANWANActive', 'directoryVOIPSMSIncident', 'managementWindows']",30+ Days Ago
Isle of Man,TTEC,Information Technology,"['SANLinuxNetworkingVOIPNetwork', 'securitySMSCustomer', 'serviceTroubleshooting']",30+ Days Ago
Network Security Analyst,Anantha Cyber Tech Pvt Limited,Information Technology,"['SalesInformation', 'securityIntrusion', 'detectionNetwork', 'monitoringNetwork', 'Security', 'AnalystInvestigationInformation', 'technologyIPS']",30+ Days Ago
Tester,Anantha Cyber Tech Pvt Limited,Information Technology,"['Hardware', 'networkingApplication', 'testingLinuxTest', 'scriptsNetworkingopenstackNetwork', 'testingInformation', 'technology']",30+ Days Ago
Datacap Developer,Anantha Cyber Tech Pvt Limited,Information Technology,"['Computer', 'scienceMS', 'SQLIISWeb', 'technologiesSalesNetworkingDatabaseWindows']",30+ Days Ago
Network Admin / System Admin,Anantha Cyber Tech Pvt Limited,Information Technology,"['RedhatIISLinuxDNSAntivirusWindows', 'TroubleshootingMS', 'OfficeAdobe']",30+ Days Ago
BDM,Anantha Cyber Tech Pvt Limited,Information Technology,"['SalesNetworkingClient', 'acquisitionInformation', 'technologyClient', 'management']",30+ Days Ago
Full Stack Web Developer,Pegasystems Worldwide India Pvt. Ltd.,Information Technology,"['IT', 'SkillsPHPSoftware', 'DevelopmentCloudHTMLCSSDrupalWeb', 'technologies']",10 Days Ago
Consultant - .Net Developer,"CDK GLOBAL, LLC.",Information Technology,"['GITRDBMSJavascriptsoftware', 'qualityDigital', 'marketingASP.Net', 'MVCInformation', 'technologyMicrosoft', 'technologies']",10 Days Ago
Senior UI Developer (React.Js/Node.Js),"CDK GLOBAL, LLC.",Information Technology,"['IT', 'SkillsHTMLCSSJavascriptJenkinsAzureWeb', 'servicesjQuery']",10 Days Ago
Senior Java Developer,"CDK GLOBAL, LLC.",Information Technology,"['IT', 'SkillsJavaJavascriptTrainingExcelDigital', 'marketingInformation', 'technologyAutomotive']",10 Days Ago
"AVP , Threat Detection",Han Digital Solution (P),Information Technology,"['UnixSocial', 'mediaNetwork', 'analysisForensicWindows', 'TroubleshootingWindowsApplication', 'softwareInformation', 'technology']",30+ Days Ago
Support Engineer - Linux,Infronics Systems Ltd,Information Technology,"['AdministrationLinuxNetworkingRHELAdministration', 'Executive']",30+ Days Ago
Technical Support,cldmsoft,Information Technology,"['BasicInterpersonal', 'skillsNetworkingOperating', 'systemsMS', 'OutlookFocusManager', 'TechnologyWindows']",30+ Days Ago
Solution Architect - GCP Infrastructure,Archelons,Information Technology,"['IT', 'SkillsCloudVPNGCP', 'Cloud', 'VPNWAN', 'networkingCloud', 'InterconnectSolution', 'Design']",5 Days Ago
MEGA Drive -software Engineer (developer / Programmer) 2020 Passout ca,Creative Hands HR Consultancy,Information Technology,"['c++pythoncdotnetsoftware', 'testingfreshers2020', 'passout', 'can', 'also', 'applymanual', 'testing']",Not Found
Solution Architect - GCP Infrastructure,Archelons,Information Technology,"['IT', 'SkillsCloudVPNGCP', 'Cloud', 'VPNWAN', 'networkingCloud', 'InterconnectSolution', 'Design']",5 Days Ago
MEGA Drive -software Engineer (developer / Programmer) 2020 Passout ca,Creative Hands HR Consultancy,Information Technology,"['c++pythoncdotnetsoftware', 'testingfreshers2020', 'passout', 'can', 'also', 'applymanual', 'testing']",Not Found
Software Engineer (developer / Programmer)/ Cloud Support - 2020,Creative Hands HR Consultancy,Information Technology,"['c++dotnetbewordpressmanual', 'testingmicrosoftcloud', 'supportsql']",13 Days Ago
Systems Software Engineer,TTEC,Information Technology,"['Computer', 'scienceSANCodingXMLDebuggingSMSEDIOracle', 'SOA']",30+ Days Ago
Associate Software Engineer,Roopa Soft LLP,Information Technology,"['IT', 'Skills.NetComputer', 'scienceTrainingSystem', 'testingAnalyticalTest', 'AssociateTechnical']",30+ Days Ago
Associate Software Engineer,Roopa Soft LLP,Information Technology,"['IT', 'Skills.NetComputer', 'scienceTrainingSystem', 'testingAnalyticalSoftware', 'Associate.net']",30+ Days Ago
junior software engineer,Quadruple Automation Services Pvt Ltd,Information Technology,"['Socket', 'programmingAutomationsoftwareJBossmobilemcajdbcit']",30+ Days Ago
Software Engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['JSP', 'servletsJMSHibernateCore', 'JavaSpring', 'mvcWeb', 'servicesStrutsJDBC']",30+ Days Ago
Software engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['GISManager', 'Client', 'ServicingC++SalesClient', 'servicingInformation', 'technologyPython']",30+ Days Ago
Software Engineer,GD Research Center Pvt Ltd,Information Technology,"['Object', 'oriented', 'designT-SQLserverbcadevelopmentcodetechnicalsoftware']",30+ Days Ago
Software Engineer,CLABSE INDIA PRIVATE LIMITED,Information Technology,"['Computer', 'scienceFront', 'endPathwayJavascriptHTMLUnit', 'testingInformation', 'technologyPerformance', 'monitoring']",30+ Days Ago
"TTEC  -  Manager ,  Software Engineering",TTEC,Information Technology,"['CodingProject', 'managementSMSApplication', 'developmentProject', 'planningTroubleshootingInformation', 'technologyCRM']",30+ Days Ago
TTEC  -  Principal Java Software Engineer,TTEC,Information Technology,"['Data', 'modelingXMLDebuggingSMSJSONWPFTroubleshootingInformation', 'technology']",30+ Days Ago
Senior Software Engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['IT', 'SkillsJavaCloudAWSWeb', 'technologiesMVVMADO.NetEntity', 'framework']",30+ Days Ago
TTEC  -  Software Principal Engineer,TTEC,Information Technology,"['SANData', 'modelingXMLDebuggingJSONWPFTroubleshootingInformation', 'technology']",30+ Days Ago
Cloud Migration Specialist,Amazon India Software Dev Centre Pvt Ltd,Information Technology,"['Computer', 'scienceArchitectureTest', 'planningPerformance', 'optimizationCustomer', 'serviceprofessional', 'servicesTroubleshootingInformation', 'technology']",30+ Days Ago
Database Migration Specialist - Microsoft,Amazon India Software Dev Centre Pvt Ltd,Information Technology,"['AutomationData', 'modelingProject', 'managementAgileCustomer', 'serviceSSISmicrosoftTroubleshooting']",30+ Days Ago
DLP Lead - Information Security/ Cyber Security,Talpro,Information Technology,"['Cyber', 'SecurityLinuxInformation', 'SecuritySecurity', 'ArchitectDlpData', 'SecuritySecurityInformation', 'Technology']",18 Days Ago
Software Test Engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['IT', 'SkillsTestingAutomation', 'TestingAutomation', 'testingManual', 'testingSalesSeleniumInformation', 'technology']",30+ Days Ago
Senior Software Quality Assurance (QA Engineer),Brains & Machines Innovative Solutions,Information Technology,"['Computer', 'scienceStress', 'testingAutomationTest', 'scriptsFunctional', 'testingSeleniumTest', 'casesInformation', 'technology']",30+ Days Ago
Senior Software Quality Assurance (QA Engineer),Brains & Machines Innovative Solutions,Information Technology,"['Computer', 'scienceStress', 'testingAutomationTest', 'scriptsFunctional', 'testingSeleniumTest', 'casesInformation', 'technology']",30+ Days Ago
Cyber Security Architect,Axim Technologies,Information Technology,"['IT', 'Risk', 'ManagementCyber', 'SecurityCyber', 'Security', 'ArchitectNetworkingContinuous', 'MonitoringAuthenticationNetwork', 'SecurityInformation', 'Security']",30+ Days Ago
Principal Site Reliability Engineer,Oracle India Pvt. Ltd.,Information Technology,"['IT', 'SkillsPythonSoftware', 'DevelopmentTestingCloudDevOpsOracleAWS']",10 Days Ago
System Admin & Network Engineer / Hardware - Freshers Preferred,Creative Hands HR Consultancy,Information Technology,"['Network', 'EngineeringHardware', 'NetworkingsoftwarefreshersLINUXSystem', 'AdministrationWindowstrainee']",30+ Days Ago
Servicenow Applications Developer,ServiceNow,Information Technology,"['Product', 'managementMavenWeb', 'servicesjQueryCodingEclipseInformation', 'technologyAnalytics']",25 Days Ago
Staff Applications Developer,ServiceNow,Information Technology,"['Product', 'managementMavenSAPjQueryCodingEclipseAgileScrum']",30+ Days Ago
Senior Servicenow Applications Developer,ServiceNow,Information Technology,"['Product', 'managementMavenWeb', 'servicesjQueryCodingEclipseInformation', 'technologyAnalytics']",30+ Days Ago
Enterprise Analyst,Unisys India Pvt. Ltd.,Information Technology,"['IT', 'SkillsTestingIISMSISchemaLANActive', 'directoryDNS']",30+ Days Ago
Application Developer,ServiceNow,Information Technology,"['Product', 'managementMavenSAPjQueryCodingEclipseAgileScrum']",30+ Days Ago
Trainee Software Engineer- Freshers,IB Services & Technologies,Information Technology,"['JavaB', 'Tech', 'FresherJavascriptLinuxSoftware', 'EngineeringAnalytical', 'SkillsProgrammingFresher']",30+ Days Ago
Software Engineer,Ray Business Technologies Private Limited,Information Technology,"['algorithmsgood', 'communication', 'skillsccodeanalyticalnetworkingmcaproblem', 'solving']",30+ Days Ago
Technical Support Associate,IBM India Pvt. Limited,Information Technology,"['Technical', 'ManagementCustomer', 'ServiceTechnical', 'SupportnetworkingVoice', 'SupportInfrastructure', 'Supporthardware']",30 Days Ago
Technical Support Associate,IBM India Pvt. Limited,Information Technology,"['Technical', 'ManagementCustomer', 'ServiceNetworkingTechnical', 'SupportHardwareVoice', 'SupportInfrastructure', 'SupportTechnical', 'Assistance']",30 Days Ago
Technical Support Associate,IBM India Pvt. Limited,Information Technology,"['Service', 'LevelCustomer', 'ServiceNetworkingTechnical', 'SupportCallingVoice', 'SupportRemote', 'InfrastructureInfrastructure', 'Support']",30 Days Ago
Project Manager / Program Manager,SlayFit,Information Technology,"['IT', 'SkillsProject', 'ManagementBPOproject', 'managementProgram', 'ManagementPMPTechnical', 'Project', 'ManagerProject', 'Management']",16 Days Ago
Senior Software Engineer - Salesforce/Marketing Cloud,CenturyLink Technologies India Pvt Ltd,Information Technology,"['Salesforce', 'Marketing', 'CloudApexVisualforceRESTtriggersSOAP']",18 Days Ago
Senior Software Engineer - Salesforce/Vlocity,CenturyLink Technologies India Pvt Ltd,Information Technology,['VlocityTriggersApexVisualforceSalesforce'],18 Days Ago
Network -TAC Engineer For Chennai,Microland Limited,Information Technology,"['IT', 'SkillsPythonIPSECiBGPNetworkingTacRIPRouting']",11 Days Ago
Immediate Opening For IAM Analyst/ Engineer - Information Security GRC,ICE DATA SERVICES INDIA PRIVATE LIMITED,Information Technology,"['risk', 'compliancepythonip', 'networkinginformation', 'securityproblem', 'solvingprocess', 'improvementregulatory', 'compliancevb']",30+ Days Ago
Technical Support Engineer,AGI INDUSTRIES PRIVATE LIMITED,Information Technology,"['Laptopconfigurationnetworkingwindowssystem', 'administrationtechnical', 'supportdesktoplinux']",Not Found
Engineering Manager,CDK GLOBAL (INDIA) PRIVATE LIMITED,Information Technology,"['C++Customer', 'supportCustomer', 'serviceDmsDigital', 'marketingContinuous', 'improvementOperationsInformation', 'technology']",30+ Days Ago
Software Consultant (Reporting),Energytech Global,Information Technology,"['Computer', 'scienceUbuntuHealth', 'insuranceLinuxRDBMSSQL', 'scriptingInformation', 'technologyPython']",30+ Days Ago
Senior Software Consultant,Energytech Global,Information Technology,"['Computer', 'scienceUbuntuAutomationLinuxRDBMSStaffingScrumInformation', 'technology']",30+ Days Ago
Software Consultant (Python & PostgreSQL),Energytech Global,Information Technology,"['Computer', 'scienceUbuntuHealth', 'insuranceLinuxRDBMSPostgresqlopenerpSQL', 'scripting']",30+ Days Ago
IT Software Sales Executive,Kensium Solutions Private Limited,Information Technology,"['TallyHRMSERPSoftware', 'salesIT', 'salesDmsSales', 'ExecutiveInformation', 'technology']",30+ Days Ago
DevOps Engineer,Ness Technologies,Information Technology,"['AutomationChange', 'managementApplication', 'programmingProblem', 'managementIncident', 'managementapplication', 'architectureMS', 'OfficeInformation', 'technology']",30+ Days Ago
Talend(ETL) Engineer in Hyderabad..!!,Compugain Solutions India Private Limited,Information Technology,"['Business', 'ConsultingISO', '9001Web', 'TechnologiesISO', '27001Productivity', 'ImprovementTalendETLInformation', 'Technology']",30+ Days Ago
"Analyst , Data Intelligence Engineer - IT",Secureworks,Information Technology,"['UnixMS', 'SQLCodingDebuggingEMCScrumInformaticaTeradata']",30+ Days Ago
"Analyst , Data Intelligence Engineer - IT",Secureworks,Information Technology,"['UnixMS', 'SQLCodingDebuggingEMCScrumInformaticaTeradata']",30+ Days Ago
IT Mssql Database Engineer,Micron Technology Operations India LLP,Information Technology,"['Database', 'MaintenanceHigh', 'AvailabilityQuery', 'TuningDatabase', 'AdministrationSSRSMS', 'SQL', 'ServerReplicationSSIS']",30+ Days Ago
QA Engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['Sql', 'Server', '2008Automation', 'testingOracle', '9ILinuxMySQLHealthcareHTMLSelenium']",30+ Days Ago
QA Engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['Sql', 'Server', '2008Automation', 'testingOracle', '9ILinuxMySQLjenkinsHTMLSelenium']",30+ Days Ago
Mobile Test Engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['Web', 'technologiesSalesSDKIOSInformation', 'technologyMobile', 'testingAndroidTesting']",30+ Days Ago
AVP - Directory Services Engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['SalesRDBMSPowershellPAASCloudActive', 'directorySAMLDirectory', 'services']",30+ Days Ago
TTEC  -  Data Engineer Manager,TTEC,Information Technology,"['Data', 'analysisFrenchExcelBusiness', 'EconomicsSAS', 'ProgrammingCustomer', 'experienceOracleInformation', 'technology']",30+ Days Ago
TTEC  -  Implementation Engineer,TTEC,Information Technology,"['LinuxHelpdeskDebuggingSMSHTMLTroubleshootingMiddlewareInformation', 'technology']",30+ Days Ago
TTEC  -  Omnichannel Implementation Engineer,TTEC,Information Technology,"['LinuxDebuggingSMSWorkflowmicrosoftTroubleshootingMiddlewareInformation', 'technology']",30+ Days Ago
TTEC  -  Quality Test Engineer,TTEC,Information Technology,"['BackendFrenchLoad', 'testingTest', 'scriptsTesting', 'toolsTechnical', 'writingRegression', 'testingdata', 'integrity']",30+ Days Ago
IT Software - Application Programming / Maintenance,Ness Technologies,Information Technology,"['Business', 'processmetadataData', 'managementDatabase', 'designApplication', 'programmingAgileOracleApache']",30+ Days Ago
Mechanical Design engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['HyperMeshAbaqusSalesMechanical', 'designInformation', 'technologyAutomotive']",30+ Days Ago
IT Software - Application Programming / Maintenance,Ness Technologies,Information Technology,"['Business', 'processmetadataData', 'managementDatabase', 'designApplication', 'programmingAgileOracleApache']",30+ Days Ago
Mechanical Design engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['HyperMeshAbaqusSalesMechanical', 'designInformation', 'technologyAutomotive']",30+ Days Ago
Test Engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['IT', 'SkillsJavaTestingManual', 'TestingAutomation', 'testingtableauQCQA', 'testing']",30+ Days Ago
AVP - IS EAS Application Engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['Performance', 'tuningApplication', 'supportLinuxSolarisJBossSAMLApacheTroubleshooting']",30+ Days Ago
Devops / System Engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['VMwareSANCloud', 'computingLinuxInfrastructure', 'managementDisaster', 'recoveryEMCOpen', 'source']",30+ Days Ago
Senior QA Engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['UnixSoftware', 'testing', 'life', 'cycleSoftware', 'testingAutomation', 'testingManual', 'testingLinuxSoftware', 'development', 'life', 'cycleSelenium']",30+ Days Ago
Senior Java Software Developer,Anantha Cyber Tech Pvt Limited,Information Technology,"['MavenSalesTDDAgileProgrammingtest', 'driven', 'developmentInformation', 'technology']",30+ Days Ago
Digital - Analytics API - Client Support Engineer III,FactSet Systems India Pvt Ltd,Information Technology,"['Web', 'servicesAnalyticalJavascriptClient', 'supportTroubleshootingInformation', 'technologyAnalyticsMonitoring']",30+ Days Ago
Customer Success Engineer,TERRA TECHNOLOGY,Information Technology,"['Application', 'supportLinuxProduction', 'supportXMLConfiguration', 'managementConsultingJDBCHTML']",30+ Days Ago
Project Engineer,Webprobity,Information Technology,"['SAPFrenchProject', 'managementWeb', 'developmentInternet', 'marketingCustomer', 'supportOracleDigital', 'marketing']",30+ Days Ago
Network Automation Engineer - Installation & Configuration,Nusecond Technologies,Information Technology,"['System', 'ConfigurationNetwork', 'AdministrationCCNAActive', 'Directory']",30+ Days Ago
Hiring For Network/Infrastructure Engineer(2019Passed outs)@Hyd Loc,Compugain Solutions India Private Limited,Information Technology,"['NOCNetworkingITIL', 'CertifiedWANCCNAServer', 'MonitoringData', 'CenterSoftware', 'Solutions']",7 Days Ago
Opening For Networking Engineer,OASYS Cybernetics Pvt Ltd.,Information Technology,"['Device', 'InstallationNetwork', 'EngineeringApplication', 'SoftwareNetworkingRetail', 'OutletsHardwareTroubleshooting']",3 Days Ago
"Only Freshers Required- ""Technical Support Engineer""",Next Education India Pvt. Ltd.,Information Technology,"['LAN', 'TroubleshootingInstallationHardware', 'NetworkingSoftware', 'InstallationNetwork', 'TroubleshootingTroubleshootingCCNAHardware', 'Troubleshooting']",3 Days Ago
jBPM Developer II,DUN & BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Information Technology,"['IT', 'SkillsJavaTestingCloudJavascriptComputer', 'scienceSystem', 'testingLinux']",17 Days Ago
Senior jBPM Developer,DUN & BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Information Technology,"['Computer', 'scienceSystem', 'testingLinuxInformation', 'securityJavascriptRegression', 'testingUnit', 'testingTroubleshooting']",18 Days Ago
jBPM Developer,DUN & BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Information Technology,"['Computer', 'scienceSystem', 'testingLinuxInformation', 'securityJavascriptRegression', 'testingUnit', 'testingTroubleshooting']",18 Days Ago
Bench Sales Executives,Lares Global Limited,Information Technology,"['Analytical', 'skillsBench', 'SalesData', 'analysisConsultingWordpressClient', 'coordinationManager', 'TechnologySales', 'Executive']",30+ Days Ago
Sr.Java Programmers,Lares Global Limited,Information Technology,"['Analytical', 'skillsProposal', 'writingData', 'analysisdevelopmentanalyticalsoftwareClient', 'coordinationit']",30+ Days Ago
Sr.PHP Developer,Lares Global Limited,Information Technology,"['Analytical', 'skillsProposal', 'writingData', 'analysisdevelopmentanalyticalsoftwareClient', 'coordinationit']",30+ Days Ago
Systems Engineer,United Online Software Development (India)  Private Limited,Information Technology,"['LinuxNetworkingPenetration', 'TestingNetwork', 'SecurityCehInformation', 'SecurityPHPPerl']",30+ Days Ago
Business Development Manager,Advance Jobs Pvt Ltd,Information Technology,"['LeadershipManagement', 'ServicesBusiness', 'Communication', 'Skillsquick', 'navigationLeadership', 'SkillsBusiness', 'AnalysisEffective', 'CommunicationCommunication', 'Skills']",18 Days Ago
Principal Software Engineer - .UI Lead,Dell International Services India  Private Limited,Information Technology,"['IT', 'SkillsTestingCloudAngularjsHTMLCSSJavascript.Net']",4 Days Ago
"C Programming, Embedded Systems, DPI-Networks Security Development",HCL Technologies Limited,Information Technology,"['SSL', 'VPNnetworkinglinux', 'internalssslpkideep', 'packet', 'inspectionMultithreadingfirewall']",22 Days Ago
Software Engineer,UrbanDart.com,Information Technology,['serverdevelopmentuxbtechNetworkingsoftwareadministrationDebugging'],30+ Days Ago
Software Engineer,Tech Ringers,Information Technology,['UnixcodetechnicalanalyticalsoftwareHTMLnetworkingWindows'],30+ Days Ago
MEGA Drive -software Engineer (developer / Programmer) Freshers,Creative Hands HR Consultancy,Information Technology,['bcac++dotnetfreshersMCAphotoshopsqlcomputer'],30+ Days Ago
system security,AGI INDUSTRIES PRIVATE LIMITED,Information Technology,"['system', 'vigilancec++cnetwork', 'securitywannetworkingbgpwindows']",Not Found
network administrator - system administrator,AGI INDUSTRIES PRIVATE LIMITED,Information Technology,"['switchingconfiguringNetworkingnetwork', 'engineerdnsnetwork', 'administrationccnpwindows']",Not Found
Sales Manager,PCDS InfoTech,Information Technology,"['Hardware', 'networkingPenetrationSBUSchool', 'managementService', 'salesBusiness', 'Executive']",30+ Days Ago
UI Developer - Html / css / javascript / angularjs,mspring infotech,Information Technology,['serverdomanalyticalsoftwarehtml5jspdevelopingHTML'],30+ Days Ago
Cyber Security Admin,Axim Technologies,Information Technology,"['InstallationCyber', 'SecurityNetworkingNetwork', 'SecurityComputer', 'ScienceCyber', 'Security', 'AdministratorDisaster', 'RecoveryNetwork', 'Troubleshooting']",30+ Days Ago
Cyber Security Analyst,Axim Technologies,Information Technology,"['Ethical', 'HackingIntrusion', 'DetectionSecurity', 'AnalysisCertified', 'Ethical', 'HackerCyber', 'SecurityLinuxSOCCeh']",30+ Days Ago
"Recruitment Executive, HR",Enlace Solutions,Information Technology,"['Recruitment', 'ExecutiveHR', 'ExecutiveNetworkingStaffingWeb', 'developmentApplication', 'developmentClient', 'interactionManagement']",30+ Days Ago
Key Account Manager,ABS INDIA PVT LTD,Information Technology,"['Payment', 'collectionSalesNetworkingNetwork', 'managementManagementWiFiVideo', 'conference']",30+ Days Ago
Asst Manager Retail Sales Offtronix,OFFTRONIX AUTOMATION PRIVATE LIMITED,Information Technology,"['BasicExcelNetworkingRetail', 'marketingRelationshipProductionAssistant', 'Manager', 'RetailPowerpoint']",30+ Days Ago
JDE Finance,Technosoft Global Services Pvt Ltd,Information Technology,"['IT', 'servicesBusiness', 'processInterpersonal', 'skillsFixed', 'assetsSocial', 'networkingHTTPGap', 'analysisAccounts', 'receivable']",30+ Days Ago
JDE CNC,Technosoft Global Services Pvt Ltd,Information Technology,"['IT', 'servicesBusiness', 'processInterpersonal', 'skillsFixed', 'assetsSocial', 'networkingHTTPGap', 'analysisAccounts', 'receivable']",30+ Days Ago
Job Opportunity - Business Development Executive,Ralco synergy Private Ltd,Information Technology,"['Hardware', 'networkingNetworking', 'productsSalesConflict', 'resolutionMarket', 'researchBusiness', 'Development', 'ExecutiveForecastingCRM']",30+ Days Ago
Oracle Apps Functional Financial/Network Analyst- 4+_Mum/Blr/Hyd,Avantha Technologies Limited,Information Technology,"['Oracle', 'Apps', 'Functionalnetwork', 'analystFinanceOracle', 'Apps', 'Functional', 'Financials']",30+ Days Ago
Senior DevOps Engineer,OpsMx,Information Technology,"['Computer', 'scienceVMwareLinuxNetworkingAgileApplication', 'developmentTroubleshootingRuby']",30+ Days Ago
Network Engineer fresher,TECHDENALI INDIA PVT LTD,Information Technology,"['NetworkingSystem', 'AdministrationNetwork', 'Administration']",30+ Days Ago
Design Engineer 1,Xilinx India Technology Services Pvt. Ltd.,Information Technology,"['WirelessVersion', 'controlNetworkingAerospaceFPGACodingArtificial', 'IntelligenceXilinx']",30+ Days Ago
Web Developer,GA Digital Solutions,Information Technology,"['IT', 'SkillsCSSComputerWeb', 'designingHTMLResearchInformation', 'technologyJoomla']",16 Days Ago
Business Operations Analyst,CDK GLOBAL (INDIA) PRIVATE LIMITED,Information Technology,"['Contract', 'reviewAnalyticalBusiness', 'Operations', 'AnalystDigital', 'marketingLicensingInformation', 'technologyAutomotiveBusiness', 'operations']",21 Days Ago
Senior .Net Developer,Procode Softech Private Limited,Information Technology,"['AngularjsAgile', 'MethodologyMS', 'SQLjQueryJavascriptEntity', 'FrameworkHTMLASP', '.NET', 'MVC', '5.0']",23 Days Ago
Hiring For Technical Support Specialist -I @ Hyderabad,OSI Systems Pvt. Ltd.,Information Technology,"['Dynamics', '365Customer', 'ServiceIT', 'HelpdeskMS', 'OutlookCallingActiveDirectoryIT', 'SupportCommunication', 'Skills']",24 Days Ago
Data Conversional Analyst,IB Services & Technologies,Information Technology,"['Computer', 'scienceMS', 'SQLData', 'conversionSSRSSQL', 'Server', 'integration', 'servicesHealthcareStored', 'proceduresSSIS']",30+ Days Ago
US IT Recruiter,Wallero Technologies,Information Technology,"['Computer', 'scienceStaffingInformation', 'securityCorporateMedical', 'insuranceResearchTaxationInformation', 'technology']",30+ Days Ago
WordPress Expert / PHP MySQL,Windel Solutions,Information Technology,"['Wordpress', 'CMScsscodesoftwareDatabase', 'designCMSInformation', 'technologyjavascript']",30+ Days Ago
Senior UI Web Designer,SCUBE FINANCIAL SOLUTIONS,Information Technology,"['Computer', 'scienceSoftware', 'projectWeb', 'technologiesInformation', 'technology']",30+ Days Ago
TTEC  -  Robotics Develpment Senior Manager,TTEC,Information Technology,"['SANAutomationCodingSMSPegaTroubleshootingInformation', 'technologyDistribution', 'system']",30+ Days Ago
SOLR Developer,Sahasya Global Solutions,Information Technology,['codetechnicalsoftwareSchemadevelopingtoolsclouddatabase'],30+ Days Ago
Machine Learning Specialist,Alien Technology Transfer,Information Technology,"['algorithmsdevelopmentPrototypecodetechnicallevelArtificial', 'IntelligenceSystem', 'design']",30+ Days Ago
Isle of Man,TTEC,Information Technology,"['Computer', 'scienceC++Change', 'managementCodingProject', 'managementAgileSMSApplication', 'development']",30+ Days Ago
TTEC  -  Development Manager,TTEC,Information Technology,"['SANFrenchSkill', 'developmentproject', 'governanceSMSTechnical', 'leadershipCustomer', 'experienceImplementation', 'Lead']",30+ Days Ago
TTEC  -  Lead bConnected Developer,TTEC,Information Technology,"['SANjQueryLinuxMySQLJavascriptSMSHTMLAgile', 'methodology']",30+ Days Ago
Dot Net Developer with Azure,Anantha Cyber Tech Pvt Limited,Information Technology,"['IT', 'SkillsTestingAngularjsJavascriptAzureWeb', 'technologiesSalesJavascript']",30+ Days Ago
